Creator,Channel URL,LinkedIn URL,Telegram/Contact,Message Text,Delivery Status,Timestamp
MrBeast,https://www.youtube.com/user/MrBeast6000,https://www.linkedin.com/company/mrbeast/,,Hey Jimmy! Loved your high-stakes builds — esp. the latest challenge. I’m a video editor focused on tighter hooks, punchier pacing, and shorts repurposing. Can I cut a 30s free sample from your next upload so you can judge fast? Reply “sample” and I’ll deliver in 24h.,Pending,2025-11-08 11:28:34
T-Series,https://www.youtube.com/user/tseries,https://www.linkedin.com/company/tseries/,,Hi team! Big fan of your rapid-release pipeline. I’m a video editor optimizing retention with crisp intros and dynamic pacing, incl. shorts/localization cuts. Can I produce a 30s free sample from an upcoming release for quick evaluation? Reply “sample” to proceed.,Pending,2025-11-08 11:28:34
Cocomelon,https://www.youtube.com/channel/UCbCmjCuTUZos6Inko4u57UQ,https://www.linkedin.com/company/cocomelon/,,Hi Cocomelon team! Love the musical story pacing. I’m an editor specializing in kid-friendly retention and rhythmic cuts. Open to a 30s free sample edit on your next upload for quick review? Reply “sample” and I’ll deliver in 24h.,Pending,2025-11-08 11:28:34
SET India,https://www.youtube.com/channel/UCpEhnqL0y41EpW2TvWAHD7Q,https://www.linkedin.com/company/sonytvin/,,Hello SET India team! Enjoying the serial highlights and pacing. I specialize in trailer-style hooks and shorts repurposing. May I cut a 30s free sample from an upcoming segment for your review? Reply “sample” to proceed.,Pending,2025-11-08 11:28:34
Vlad and Niki,https://www.youtube.com/channel/UCvlE5gTbOvjnlPKmd1c_p4Q,https://www.linkedin.com/company/vladandniki/,,Hey team! Love the adventure edits and sound design. I’m an editor focused on kid content retention and shorts. Can I deliver a 30s free sample from your next upload? Reply “sample” for a 24h turnaround.,Pending,2025-11-08 11:28:34
Sony SAB,https://www.youtube.com/@SonySAB,https://www.linkedin.com/company/sonysab/,,Hi Sony SAB team! Your comedy cuts are tight. I edit for faster hooks and highlight reels + shorts. Happy to send a 30s free sample from the next episode. Reply “sample” to try.,Pending,2025-11-08 11:28:34
Kids Diana Show,https://www.youtube.com/@KidsDianaShow,https://www.linkedin.com/company/kids-diana-show/,,Hey team! Love the colorful pacing and transitions. I specialize in children’s content retention and shorts repurposing. Open to a 30s free sample edit? Reply “sample”.,Pending,2025-11-08 11:28:34
PewDiePie,https://www.youtube.com/user/PewDiePie,https://www.linkedin.com/company/pewdiepie/,,Hey Felix! Loved your comeback vlog energy. I’m an editor focused on tighter hooks and b-roll rhythm + shorts. Can I cut a 30s free sample from your next upload? Reply “sample”.,Pending,2025-11-08 11:28:34
Like Nastya,https://www.youtube.com/channel/UCJplp5SjeGSdVdwsfb9Q7lQ,https://www.linkedin.com/company/likenastya/,,Hi team! Great story beats and color play. I edit for kid-safe retention and multilingual shorts. May I send a 30s free sample from the next video? Reply “sample”.,Pending,2025-11-08 11:28:34
5-Minute Crafts,https://www.youtube.com/channel/UC295-Dw_tDNtZXFeAPAW6Aw,https://www.linkedin.com/company/theSoulPublishing/,,Hi team! Your macro shots and pacing are iconic. I specialize in fast-cut tutorials and shorts atomization. Open to a 30s free sample from your next batch? Reply “sample”.,Pending,2025-11-08 11:28:34
WWE,https://www.youtube.com/user/WWEFanNation,https://www.linkedin.com/company/wwe/,,Hey WWE digital team! I cut hype reels and punchy shorts that boost retention. Can I deliver a 30s free sample from an upcoming highlight? Reply “sample”.,Pending,2025-11-08 11:28:34
Zee Music Company,https://www.youtube.com/@zeemusiccompany,https://www.linkedin.com/company/zee-music-company/,,Hi ZMC team! I edit music promos, teaser hooks, and shorts. Happy to provide a 30s free sample on an upcoming release. Reply “sample”.,Pending,2025-11-08 11:28:34
Hybe Labels,https://www.youtube.com/@HYBELABELS,https://www.linkedin.com/company/hybe/,,Hi HYBE team! I specialize in high-energy edits, teaser cuts, and shorts localization. Can I create a 30s free sample for your next drop? Reply “sample”.,Pending,2025-11-08 11:28:34
Justin Bieber,https://www.youtube.com/user/kidrauhl,https://www.linkedin.com/company/justin-bieber/,,Hey Justin team! I cut music video teasers and tour shorts to boost retention. Open to a 30s free sample from the next release? Reply “sample”.,Pending,2025-11-08 11:28:34
BLACKPINK,https://www.youtube.com/@BLACKPINK,https://www.linkedin.com/company/yg-entertainment/,,Hi BLACKPINK team! I edit teaser hooks and performance shorts with dynamic pacing. May I deliver a 30s free sample for the next drop? Reply “sample”.,Pending,2025-11-08 11:28:34
Marshmello,https://www.youtube.com/user/marshmellomusic,https://www.linkedin.com/company/marshmello/,,Hey team! I specialize in music promo cuts and event shorts. Can I send a 30s free sample from your next release? Reply “sample”.,Pending,2025-11-08 11:28:34
Goldmines,https://www.youtube.com/@GoldminesTelefilms,https://www.linkedin.com/company/goldmines-telefilms/,,Hi Goldmines team! I cut film highlights and trailer-style shorts to boost watch time. Open to a 30s free sample? Reply “sample”.,Pending,2025-11-08 11:28:34
Wave Music,https://www.youtube.com/@WaveMusicBhojpuri,https://www.linkedin.com/company/wave-music/,,Hi Wave team! I edit music teasers and shorts for stronger hooks. Can I deliver a 30s free sample on an upcoming track? Reply “sample”.,Pending,2025-11-08 11:28:34
Taylor Swift,https://www.youtube.com/@TaylorSwift,https://www.linkedin.com/company/taylor-swift/,,Hey Taylor team! I cut promo teasers and tour shorts with tight narrative hooks. Open to a 30s free sample from the next release? Reply “sample”.,Pending,2025-11-08 11:28:34
Zee TV,https://www.youtube.com/@zeetv,https://www.linkedin.com/company/zee-entertainment-enterprises-limited/,,Hi Zee TV digital team! I edit serial highlights and shorts repurposing for retention. May I send a 30s free sample? Reply “sample”.,Pending,2025-11-08 11:28:34
Ariana Grande,https://www.youtube.com/user/ArianaGrandeVevo,https://www.linkedin.com/company/ariana-grande/,,Hey Ariana team! I cut teaser hooks and shorts for music rollouts. Can I share a 30s free sample for quick review? Reply “sample”.,Pending,2025-11-08 11:28:34
Badabun,https://www.youtube.com/user/BadabunOficial,https://www.linkedin.com/company/badabun/,,Hola equipo! I edit viral-format shorts and tight hooks for higher retention. Can I send a 30s free sample from your next piece? Reply “sample”.,Pending,2025-11-08 11:28:34
Canal KondZilla,https://www.youtube.com/user/producoeskondzilla,https://www.linkedin.com/company/kondzilla/,,Oi equipe! I cut music video teasers and shorts with strong pacing. Open to a 30s free sample? Reply “sample”.,Pending,2025-11-08 11:28:34
Ed Sheeran,https://www.youtube.com/user/edsheeran,https://www.linkedin.com/company/ed-sheeran/,,Hey Ed team! I cut warm, story-led promo teasers and shorts. Can I deliver a 30s free sample from the next release? Reply “sample”.,Pending,2025-11-08 11:28:34
Billie Eilish,https://www.youtube.com/user/BillieEilish,https://www.linkedin.com/company/billie-eilish/,,Hey Billie team! I edit moody teaser hooks and shorts. May I share a 30s free sample for the next drop? Reply “sample”.,Pending,2025-11-08 11:28:34
